Speaker,Listener,Conversation
BARTY,,Which of you conjured this?
BARTY,HARRY,Do not lie! You have been discovered at the scene of the crime!
BARTY,,Follow me.
BARTY,,"All of you, this way."
BARTY,,After much deliberation the ministry has concluded that for their own safety no student under the age of seventeen shall be allowed to put forth their name for the tri-wizard tournament. This decision is final.
BARTY,DUMBLEDORE,"The rules are absolute, the goblet of fire constitutes a binding magical contract. Mr Potter has no choice, he is as of tonight... a tri-wizards champion."
BARTY,,"Champions, in a circle around me. Miss Delacour over here, Mr Krum, and Potter over here. Right. Miss Delacour, if you will..."
BARTY,FLEUR,The welsh green. Mr Krum...
BARTY,VIKTOR,The chinese fireball. Oooooh.
BARTY,CEDRIC,The swedish short-snout. Which leaves...
BARTY,HARRY,What's that boy?
BARTY,HARRY,"The hungarian horntail. These represent very real dragons, each of which has been given a golden egg to protect. Your objective is simple, collect the egg. This you must do, for each egg contains a clue without which you cannot hope to proceed to the next task. Any questions?"
BARTY,,Get him another towel.
BARTY,HARRY,"Congratulations Potter, fine achievement. Well done boy. I'm sorry we haven't spoken, after all your story is one I've heard many times. Quite remarkable. Tragic of course, to lose one's family. Never whole again are we? Still, life goes on. And here we stand. I'm sure your parents would be very proud today Potter."
BARTY,IGOR,"Igor Karkaroff, you have been brought from Azkaban at your own request to present evidence to this counsel. Should your testimony prove consequential. Counsel may be prepared to order your immediate release. Until such time you remain in the eyes of the ministry a convicted deatheater. Do you accept these terms?"
BARTY,IGOR,What do you wish to present?
BARTY,IGOR,Mr Rosier is dead.
BARTY,IGOR,If that is all the witness has to offer...
BARTY,IGOR,Augustus Rookwood? Of the department of ministries.
BARTY,IGOR,Very well. Counsel will deliberate. In the meantime you will be returned to Azkaban.
BARTY,,Silence!
BARTY,IGOR,Unless the witness possesses any name of genuine consequence this session is now concluded.
BARTY,IGOR,What's that?
BARTY,IGOT,Yes?
BARTY,IGOR,The name! Give me the wretched name!
BARTY,BARTY JR,You are no son of mine.
